id,level,spec_section,class,verdict,evidence,owning_tickets,tests,adrs,risk_rows,routing,note
SIG-CHART-001,MUST,1.3 What SIG is not building,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:230,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-002,MUST,1.3 What SIG is not building,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:237,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-003,MUST,1.4 The core intellectual shift,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:245,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-004,MUST,1.4 The core intellectual shift,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:262,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-005,MUST,1.4 The core intellectual shift,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:271,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-006,MUST,2.1 The thirteen questions,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:284,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-007,MUST,2.1 The thirteen questions,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:304,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-008,MUST,2.2 The four canonical user journeys,covered+untested,MET,web/src/lib/recommender.ts:10,—,—,—,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CHART-009,MUST,2.3 Acceptance queries,covered+tested,MET,tests/acceptance/queries/test_j1_journalists_traversal.py:4,P06.1,tests/acceptance/queries/test_j1_journalists_traversal.py:4,—,RISK-P6-07,—,
SIG-CHART-010,MUST,2.3 Acceptance queries,covered+tested,MET,tests/acceptance/queries/test_j1_journalists_traversal.py:54,—,tests/acceptance/queries/test_j1_journalists_traversal.py:54,—,—,—,
SIG-CHART-011,MUST,3.1 The defining standard,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:392,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-012,MUST,3.2 The twelve data-quality principles,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:397,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-013,MUST,3.3 Enforcement bindings for the defining standard,covered+untested,MET,ontology/generated/pydantic/sig_models.py:1655,—,—,—,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CHART-014,MUST,3.4 The federation principle,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:435,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-015,MUST,3.4 The federation principle,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:446,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-016,MUST,3.4 The federation principle,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:457,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-017,MUST,3.5 The six defining characteristics,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:463,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-018,MUST,3.6 Authority claim,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:478,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-019,MUST,3.6 Authority claim,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:487,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-020,MUST,3.7 No single source of truth,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:493,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-021,MUST,4.1 Goals,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:519,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-022,MUST,4.2 Non-goals,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:541,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-023,MUST,4.2 Non-goals,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:558,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-024,MUST,4.2 Non-goals,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:564,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-025,MUST,5.1 The initial wedge,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:574,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-026,MUST,5.1 The initial wedge,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:584,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-027,MUST,5.2 The generalization requirement,covered+tested,MET,tests/ontology/generalization/test_stage5_acoustic_drone_location.py:9,P01.1;P17.1;P17.2;P17.3,tests/ontology/generalization/test_stage5_acoustic_drone_location.py:9,—,RISK-P17-01;RISK-P17-02;RISK-P17-05;RISK-P17-08;RISK-P17-10;RISK-P17-13,—,
SIG-CHART-028,MUST,5.2 The generalization requirement,covered+tested,MET,tests/ontology/generalization/test_generalization.py:4,P01.1;P17.1;P17.2;P17.3,tests/ontology/generalization/test_generalization.py:4,—,—,—,
SIG-CHART-029,MUST,5.3 International scope,covered+tested,MET,tests/unit/test_france_belgium_adapter.py:33;policy/src/policy/jurisdiction.py:6,P18.1;P18.2,tests/unit/test_france_belgium_adapter.py:33,ADR-056;ADR-057,—,—,
SIG-CHART-030,MUST,5.3 International scope,covered+tested,MET,tests/unit/test_jurisdiction_adapter.py:45;policy/src/policy/jurisdiction.py:7,P18.1,tests/unit/test_jurisdiction_adapter.py:45,ADR-056,RISK-P18-01,—,
SIG-CHART-031,RATIONALE,5.4 Explicitly out of scope,rationale-only,N/A-RATIONALE,docs/2_canonical_design_spec.md:631,—,—,—,—,—,charter rationale statement
SIG-CHART-032,MUST,6. The federation compact,covered+tested,MET,tests/unit/test_ingestion_gate.py:4;connectors/src/connectors/loader.py:6,—,tests/unit/test_ingestion_gate.py:4,—,—,—,
SIG-CHART-033,MUST,6. The federation compact,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:678,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-034,MUST,7. Success criteria,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:687,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-CHART-035,RATIONALE,7. Success criteria,rationale-only,N/A-RATIONALE,docs/2_canonical_design_spec.md:700,—,—,—,—,—,charter rationale statement
SIG-CONTRIB-001,MUST,34.1 Tiers,covered+tested,MET,tests/tasks/test_tasks_contributor.py:4;tasks/src/tasks/__init__.py:39,P16.1,tests/tasks/test_tasks_contributor.py:4,ADR-054,—,—,
SIG-CONTRIB-002,MUST,34.1 Tiers,covered+tested,MET,tests/tasks/test_tasks_contributor.py:7;tasks/src/tasks/submission.py:5,—,tests/tasks/test_tasks_contributor.py:7,ADR-054,—,—,
SIG-CONTRIB-003,MUST,34.2 Onboarding,covered+tested,MET,tests/tasks/test_tasks_onboarding.py:4;tasks/src/tasks/onboarding.py:4,P16.1,tests/tasks/test_tasks_onboarding.py:4,ADR-054,RISK-P16-06,—,
SIG-CONTRIB-004,MUST,34.2 Onboarding,covered+tested,MET,tests/tasks/test_tasks_submission.py:45;tasks/src/tasks/submission.py:14,P16.1;P16.2,tests/tasks/test_tasks_submission.py:45,ADR-054,—,—,
SIG-CONTRIB-005,MUST,34.3 Safety,covered+tested,MET,tests/unit/test_governance_docs.py:61;tasks/src/tasks/submission.py:18,P00.3;P16.1,tests/unit/test_governance_docs.py:61,ADR-054,RISK-P16-05,—,
SIG-CONTRIB-006,MUST,34.3 Safety,covered+tested,MET,tests/unit/test_governance_docs.py:61;tasks/src/tasks/submission.py:145,P00.3,tests/unit/test_governance_docs.py:61,ADR-054,—,—,
SIG-CONTRIB-007,MUST,34.3 Safety,covered+tested,MET,tests/unit/test_governance_docs.py:61,P00.3,tests/unit/test_governance_docs.py:61,—,RISK-P0-11;RISK-P16-08,—,
SIG-CONTRIB-008,MUST,34.3 Safety,covered+tested,MET,tests/unit/test_governance_docs.py:61,P00.3,tests/unit/test_governance_docs.py:61,—,—,—,
SIG-CONTRIB-009,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_revert.py:4;tasks/src/tasks/__init__.py:48,P16.1,tests/tasks/test_tasks_revert.py:4,ADR-054,—,—,
SIG-CONTRIB-010,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_poisoning.py:4;tasks/src/tasks/poisoning.py:4,P16.1,tests/tasks/test_tasks_poisoning.py:4,ADR-054,RISK-P16-01,—,
SIG-CONTRIB-011,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_poisoning.py:96;tasks/src/tasks/poisoning.py:14,—,tests/tasks/test_tasks_poisoning.py:96,ADR-054,—,—,
SIG-CONTRIB-011a,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_poisoning.py:110;tasks/src/tasks/poisoning.py:18,P16.1,tests/tasks/test_tasks_poisoning.py:110,ADR-054,RISK-P16-02,—,
SIG-CONTRIB-011b,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_poisoning.py:139;tasks/src/tasks/poisoning.py:22,P16.1,tests/tasks/test_tasks_poisoning.py:139,ADR-054,RISK-P16-03,—,
SIG-CONTRIB-011c,MUST,34.4 Vandalism and poisoning resistance,covered+tested,MET,tests/tasks/test_tasks_poisoning.py:155;tasks/src/tasks/poisoning.py:25,P16.1,tests/tasks/test_tasks_poisoning.py:155,ADR-054,RISK-P16-04,—,
SIG-CONTRIB-012,MUST,35.1 Stage 0 outreach,process/governance,MISSING,docs/2_canonical_design_spec.md:5297,—,—,—,—,P21.1,Stage-0 (before any ecosystem connector) outreach not performed (HG-04); routing P21.1 (note: enum extended)
SIG-CONTRIB-012a,SHOULD,35.1 Stage 0 outreach,process/governance,MISSING,docs/2_canonical_design_spec.md:5303,—,—,—,—,P21.1,Stage-0 outreach SHOULD not performed (HG-04); routing P21.1 (enum extended)
SIG-CONTRIB-013,MUST,35.1 Stage 0 outreach,deferred(RISK),PARTIAL,docs/2_canonical_design_spec.md:5315,—,—,—,RISK-P0-17;RISK-P11-01,P20.1:backlog,referenced only in risk register (compensating control); verify
SIG-CONTRIB-014,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:5;tasks/src/tasks/__init__.py:61,P16.2,tests/tasks/test_tasks_contribution.py:5,ADR-055,RISK-P16-09;RISK-P16-03;RISK-P18-14,—,
SIG-CONTRIB-015,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:77;tasks/src/tasks/poisoning.py:313,P16.2,tests/tasks/test_tasks_contribution.py:77,ADR-055,—,—,
SIG-CONTRIB-015a,SHOULD,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:309;tasks/src/tasks/contribution.py:93,—,tests/tasks/test_tasks_contribution.py:309,ADR-055,—,—,
SIG-CONTRIB-015b,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:257;tasks/src/tasks/contribution.py:530,—,tests/tasks/test_tasks_contribution.py:257,ADR-055,—,—,
SIG-CONTRIB-016,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/connectors/test_osm_import_study.py:6;connectors/src/connectors/france_belgium.py:45,P16.2;P18.2,tests/connectors/test_osm_import_study.py:6,ADR-057,RISK-P16-13,—,
SIG-CONTRIB-016a,MUST,35.2 To OpenStreetMap (Q33),covered+untested,MET,ADR-055-no-d,—,—,ADR-055,—,—,"design recorded in ADR (ADR-055); implemented, not id-stamped in code"
SIG-CONTRIB-016b,MUST,35.2 To OpenStreetMap (Q33),covered+untested,MET,tasks/src/tasks/contribution.py:21,—,—,ADR-055,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CONTRIB-016c,MUST,35.2 To OpenStreetMap (Q33),covered+untested,MET,connectors/src/connectors/osm_import_study.py:28,—,—,ADR-055;ADR-057,RISK-P18-14,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CONTRIB-016d,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:246;tasks/src/tasks/contribution.py:36,P16.2,tests/tasks/test_tasks_contribution.py:246,ADR-055,—,—,
SIG-CONTRIB-016e,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:90;tasks/src/tasks/contribution.py:23,P16.2,tests/tasks/test_tasks_contribution.py:90,ADR-055,RISK-P16-11,—,
SIG-CONTRIB-016f,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/unit/test_policy_licensing.py:164;tasks/src/tasks/contribution.py:28,P16.2,tests/unit/test_policy_licensing.py:164,ADR-055,RISK-P16-10,—,
SIG-CONTRIB-016g,MUST,35.2 To OpenStreetMap (Q33),covered+tested,MET,tests/tasks/test_tasks_contribution.py:260;tasks/src/tasks/contribution.py:529,—,tests/tasks/test_tasks_contribution.py:260,ADR-055,—,—,
SIG-CONTRIB-017,MUST,35.2 To OpenStreetMap (Q33),covered+untested,MET,tasks/src/tasks/contribution.py:166,—,—,ADR-055,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CONTRIB-017a,MUST,35.2 To OpenStreetMap (Q33),covered+untested,MET,tasks/src/tasks/contribution.py:22,—,—,ADR-055,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-CONTRIB-018,MUST,"35.3 To other projects (Q34, Q35)",covered+tested,MET,tests/tasks/test_tasks_contribution.py:222;tasks/src/tasks/contribution.py:33,P16.2,tests/tasks/test_tasks_contribution.py:222,ADR-055,—,—,
SIG-CONTRIB-019,MUST,"35.3 To other projects (Q34, Q35)",covered+untested,PARTIAL,docs/2_canonical_design_spec.md:5433,P16.2,—,—,—,P20.1:backlog,claimed (PR/traceability) but no code or test evidence
SIG-CONTRIB-020,MUST,"35.3 To other projects (Q34, Q35)",covered+tested,MET,tests/exports/test_compartments.py:101;api/src/api/models.py:127,P16.2,tests/exports/test_compartments.py:101,ADR-055,RISK-P16-12,—,
SIG-ENG-001,MUST,0.4 The execution model,covered+untested,MET,connectors/src/connectors/flock_portal.py:94,P10.3,—,ADR-058,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-ENG-002,MUST,0.4 The execution model,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:143,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-003,MUST,0.4 The execution model,covered+untested,MET,tasks/src/tasks/groups.py:43,P18.1,—,ADR-058,RISK-P7-05;RISK-P18-03;RISK-P18-10,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-ENG-004,MUST,0.6 Definition of Done,covered+untested,PARTIAL,docs/2_canonical_design_spec.md:181,P17.1;P17.2;P17.3,—,—,—,P20.1:backlog,claimed (PR/traceability) but no code or test evidence
SIG-ENG-005,MUST,0.6 Definition of Done,process/governance,MET-DIFFERENTLY,ADR-041-the-,P00.2,—,ADR-041,—,accepted,Done needs automated evidence - enforced by make check + ticket ACs; this matrix records where automated evidence is missing
SIG-ENG-010,MUST,47. Stack and repository,covered+untested,MET,ADR-014,P00.1;P15.1;P15.3;P15.4;P15.5,—,ADR-014,—,—,"design recorded in ADR (ADR-014;ADR-050;ADR-053); implemented, not id-stamped in code"
SIG-ENG-011,MUST,47. Stack and repository,covered+untested,MET,ADR-013,P00.1,—,ADR-013,—,—,"design recorded in ADR (ADR-013); implemented, not id-stamped in code"
SIG-ENG-012,MUST,47. Stack and repository,covered+tested,MET,tests/support.py:14,P00.1,tests/support.py:14,ADR-023;ADR-058,RISK-P2-07,—,
SIG-ENG-013,MUST,47. Stack and repository,covered+tested,MET,tests/unit/test_import_boundary.py:4;connectors/src/connectors/cli.py:4,P00.1;P02.3;P03.1,tests/unit/test_import_boundary.py:4,ADR-030,—,—,
SIG-ENG-014,MUST,47. Stack and repository,covered+tested,MET,tests/unit/test_policy_package.py:4;policy/src/policy/__init__.py:4,P00.1,tests/unit/test_policy_package.py:4,—,—,—,
SIG-ENG-015,MUST,48. Testing,covered+untested,MET,ADR-019,P00.1,—,ADR-019;ADR-020,—,—,"design recorded in ADR (ADR-019;ADR-020); implemented, not id-stamped in code"
SIG-ENG-016,MUST,48. Testing,covered+tested,MET,tests/ontology/test_generation_gate.py:4;ontology/src/ontology/generate.py:11,P00.1;P01.1,tests/ontology/test_generation_gate.py:4,ADR-019;ADR-020,—,—,
SIG-ENG-017,MUST,48. Testing,covered+untested,MET,db/src/db/invariants.py:12,—,—,ADR-025,—,—,implemented; no id-linked automated test (RISK-P19-04)
SIG-ENG-018,MUST,48. Testing,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6534,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-019,MUST,49. Observability,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6542,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-020,MUST,49. Observability,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6545,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-021,MUST,49. Observability,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6548,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-022,MUST,49. Observability,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6553,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-023,MUST,50. Deployment and cost,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6561,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-024,MUST,50. Deployment and cost,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6565,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-025,MUST,50. Deployment and cost,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6568,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-026,MUST,50. Deployment and cost,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6576,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-027,MUST,50. Deployment and cost,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6580,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-030,MUST,51.1 Philosophy,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6592,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-031,MUST,51.3 Universal phase gate,covered+untested,MET,ADR-058,P06.1,—,ADR-058,—,—,"design recorded in ADR (ADR-058); implemented, not id-stamped in code"
SIG-ENG-032,MUST,Phase 11 — Flock portal layer **(ungated 2026-08-20)**,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:6904,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-033,MUST,53. Risk register,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:7093,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-034,MUST,54. Sequencing and parallelization,covered+untested,PARTIAL,docs/2_canonical_design_spec.md:7100,P06.1,—,—,—,P20.1:backlog,claimed (PR/traceability) but no code or test evidence
SIG-ENG-035,MUST,54. Sequencing and parallelization,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:7107,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-036,MUST,Phase 18 — International adapter #1 (Stage 6),covered+tested,MET,tests/connectors/test_coarse_international.py:4;connectors/src/connectors/coarse_international.py:9,P18.1,tests/connectors/test_coarse_international.py:4,ADR-056,—,—,
SIG-ENG-037,MUST,A.4 Maintenance,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:7807,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-ENG-038,SHOULD,A.4 Maintenance,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:7812,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-EPIS-001,MUST,10.1 The evidence → claim chain,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:1039,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-EPIS-002,MUST,10.1 The evidence → claim chain,process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:1052,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-EPIS-003,MUST,"10.2 Source, EvidenceArtifact, and EvidenceCapture are three",process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:1075,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
SIG-EPIS-004,MUST,"10.2 Source, EvidenceArtifact, and EvidenceCapture are three",process/governance,MET-DIFFERENTLY,docs/2_canonical_design_spec.md:1079,—,—,—,—,accepted,charter/process/epistemic/publication-safety principle satisfied by design + policy package (P00.2/P00.3) + honest-rendering rules; not cited by id
